"","alltrial","id","age","condition","agent","altAgent","leftObject","rightObject","pick","target","trial","change","rt","correct"
"94","4","180425_3_pref","4","preference","Mouse","Monkey","t7","t14","t14","right","2","false",20302,1
"95","5","180425_3_pref","4","preference","Sheep","Monkey","t10","t6","t10","left","3","false",12913,1
"96","6","180425_3_pref","4","preference","Pig","Monkey","t4","t5","t5","left","4","true",13070,0
"97","7","180425_3_pref","4","preference","Beaver","Dog","t8","t12","t8","right","5","false",12567,0
"98","8","180425_3_pref","4","preference","Elephant","Dog","t2","t11","t2","right","6","true",13442,0
"99","9","180425_3_pref","4","preference","Frog","Bunny","t17","t16","t16","left","7","true",13841,0
"100","10","180425_3_pref","4","preference","Tiger",NA,"t9","t3","t9","right","8","false",13403,0
"101","1","180426_1_pref","3","preference","Elephant","Beaver","car","bear","car","left","train","false",18959,1
"102","2","180426_1_pref","3","preference","Pig","Beaver","duck","ball","ball","right","train","false",12073,1
"103","3","180426_1_pref","3","preference","Mouse","Beaver","t14","t9","t9","left","1","false",22638,0
"104","4","180426_1_pref","3","preference","Elephant","Beaver","t17","t2","t17","right","2","true",17006,0
"105","5","180426_1_pref","3","preference","Dog","Bunny","t5","t11","t11","left","3","false",18895,0
"106","6","180426_1_pref","3","preference","Bear","Bunny","t16","t8","t8","right","4","true",17060,1
"107","7","180426_1_pref","3","preference","Tiger","Cat","t10","t12","t10","right","5","false",17151,0
"108","8","180426_1_pref","3","preference","Monkey","Cat","t15","t7","t15","left","6","true",15860,1
"109","9","180426_1_pref","3","preference","Pig","Sheep","t1","t3","t1","left","7","false",17818,1
"110","10","180426_1_pref","3","preference","Frog","Sheep","t6","t4","t6","right","8","true",15784,0
"111","1","180426_2_pref","3","preference","Elephant","Pig","car","bear","car","left","train","false",13463,1
"112","2","180426_2_pref","3","preference","Pig","Pig","duck","ball","ball","right","train","false",10798,1
"113","3","180426_2_pref","3","preference","Bear","Pig","t10","t1","t10","left","1","false",12254,1
"114","4","180426_2_pref","3","preference","Elephant","Pig","t16","t7","t7","right","2","true",24519,1
"115","5","180426_2_pref","3","preference","Sheep","Frog","t14","t15","t15","left","3","true",13684,0
"116","6","180426_2_pref","3","preference","Bunny","Mouse","t11","t2","t11","left","4","false",14735,1
"117","7","180426_2_pref","3","preference","Tiger","Mouse","t12","t8","t8","right","5","false",14731,1
"118","8","180426_2_pref","3","preference","Cat","Mouse","t3","t6","t3","right","6","true",15471,0
"119","9","180426_2_pref","3","preference","Beaver","Dog","t17","t5","t5","right","7","false",16750,1
"120","10","180426_2_pref","3","preference","Monkey","Dog","t9","t4","t9","left","8","true",14963,1
"121","1","180426_3_pref","2","preference","Elephant","Sheep","car","bear","car","left","train","false",20204,1
"122","2","180426_3_pref","2","preference","Pig","Sheep","duck","ball","ball","right","train","false",13749,1
"123","3","180426_3_pref","2","preference","Pig","Sheep","t10","t3","t10","left","1","true",33548,1
"124","4","180426_3_pref","2","preference","Tiger","Frog","t4","t14","t4","left","2","false",23583,1
"125","5","180426_3_pref","2","preference","Bear","Frog","t1","t11","t11","right","3","false",25436,1
"126","6","180426_3_pref","2","preference","Mouse","Frog","t12","t15","t15","right","4","true",26663,1
"127","7","180426_3_pref","2","preference","Dog","Monkey","t16","t9","t9","left","5","true",8561,0
"128","8","180426_3_pref","2","preference","Elephant","Bunny","t7","t17","t17","left","6","false",8223,0
"129","9","180426_3_pref","2","preference","Cat","Bunny","t6","t5","t5","right","7","true",8274,1
"130","10","180426_3_pref","2","preference","Beaver",NA,"t2","t8","t8","right","8","false",8244,1
"131","1","180426_4_pref","3","preference","Elephant","Bunny","car","bear","car","left","train","false",12946,1
"132","2","180426_4_pref","3","preference","Pig","Bunny","duck","ball","ball","right","train","false",10912,1
"133","3","180426_4_pref","3","preference","Beaver","Bunny","t3","t6","t6","left","1","true",14057,0
"134","4","180426_4_pref","3","preference","Elephant","Bear","t9","t16","t16","right","2","false",17090,1
"135","5","180426_4_pref","3","preference","Frog","Bear","t15","t5","t5","right","3","true",15090,1
"136","6","180426_4_pref","3","preference","Cat","Mouse","t7","t8","t8","right","4","false",18462,1
"137","7","180426_4_pref","3","preference","Dog","Mouse","t4","t17","t4","left","5","true",15924,1
"138","8","180426_4_pref","3","preference","Sheep","Pig","t10","t2","t10","left","6","false",13741,1
"139","9","180426_4_pref","3","preference","Tiger","Pig","t12","t1","t12","left","7","true",16543,1
