experiment,id,condition,trial,agent,correct
adult_ex2_novelty,8251f30d8b2583c15b8a516f5e004971,different_speaker,5,Bunny,0
adult_ex2_novelty,8251f30d8b2583c15b8a516f5e004971,same_speaker,6,Monkey,1
adult_ex2_novelty,8fc5dee80c755a2a203ecdabde3757ff,same_speaker,1,Tiger,1
adult_ex2_novelty,8fc5dee80c755a2a203ecdabde3757ff,different_speaker,2,Bunny,1
adult_ex2_novelty,8fc5dee80c755a2a203ecdabde3757ff,different_speaker,3,Frog,1
adult_ex2_novelty,8fc5dee80c755a2a203ecdabde3757ff,same_speaker,4,Dog,0
adult_ex2_novelty,8fc5dee80c755a2a203ecdabde3757ff,different_speaker,5,Monkey,1
adult_ex2_novelty,8fc5dee80c755a2a203ecdabde3757ff,same_speaker,6,Cat,0
adult_ex2_novelty,99d8f41dbfd2d59af82e2caeda44ea90,different_speaker,1,Cat,1
adult_ex2_novelty,99d8f41dbfd2d59af82e2caeda44ea90,same_speaker,2,Mouse,1
adult_ex2_novelty,99d8f41dbfd2d59af82e2caeda44ea90,same_speaker,3,Tiger,1
adult_ex2_novelty,99d8f41dbfd2d59af82e2caeda44ea90,different_speaker,4,Frog,1
adult_ex2_novelty,99d8f41dbfd2d59af82e2caeda44ea90,different_speaker,5,Monkey,1
adult_ex2_novelty,99d8f41dbfd2d59af82e2caeda44ea90,same_speaker,6,Bunny,1
adult_ex2_novelty,9f2ae7b63aadaadd8462cf65228edc96,different_speaker,1,Bunny,0
adult_ex2_novelty,9f2ae7b63aadaadd8462cf65228edc96,same_speaker,2,Mouse,0
adult_ex2_novelty,9f2ae7b63aadaadd8462cf65228edc96,same_speaker,3,Tiger,0
adult_ex2_novelty,9f2ae7b63aadaadd8462cf65228edc96,different_speaker,4,Bear,0
adult_ex2_novelty,9f2ae7b63aadaadd8462cf65228edc96,different_speaker,5,Monkey,0
adult_ex2_novelty,9f2ae7b63aadaadd8462cf65228edc96,same_speaker,6,Sheep,0
adult_ex2_novelty,a58ab0a1c1563560e721df4cc9248b33,same_speaker,1,Mouse,1
adult_ex2_novelty,a58ab0a1c1563560e721df4cc9248b33,different_speaker,2,Monkey,0
adult_ex2_novelty,a58ab0a1c1563560e721df4cc9248b33,different_speaker,3,Bunny,0
adult_ex2_novelty,a58ab0a1c1563560e721df4cc9248b33,same_speaker,4,Tiger,1
adult_ex2_novelty,a58ab0a1c1563560e721df4cc9248b33,different_speaker,5,Frog,0
adult_ex2_novelty,a58ab0a1c1563560e721df4cc9248b33,same_speaker,6,Bear,1
adult_ex2_novelty,afd0315c5d24a5d821f7208f44b61b82,different_speaker,1,Bunny,0
adult_ex2_novelty,afd0315c5d24a5d821f7208f44b61b82,same_speaker,2,Mouse,1
adult_ex2_novelty,afd0315c5d24a5d821f7208f44b61b82,different_speaker,3,Dog,1
adult_ex2_novelty,afd0315c5d24a5d821f7208f44b61b82,same_speaker,4,Bear,1
adult_ex2_novelty,afd0315c5d24a5d821f7208f44b61b82,different_speaker,5,Sheep,1
adult_ex2_novelty,afd0315c5d24a5d821f7208f44b61b82,same_speaker,6,Frog,1
adult_ex2_novelty,b7a0932733fbfb48ec5d83af736c7728,same_speaker,1,Mouse,1
adult_ex2_novelty,b7a0932733fbfb48ec5d83af736c7728,different_speaker,2,Bunny,0
adult_ex2_novelty,b7a0932733fbfb48ec5d83af736c7728,same_speaker,3,Sheep,0
adult_ex2_novelty,b7a0932733fbfb48ec5d83af736c7728,different_speaker,4,Monkey,0
adult_ex2_novelty,b7a0932733fbfb48ec5d83af736c7728,different_speaker,5,Bear,0
adult_ex2_novelty,b7a0932733fbfb48ec5d83af736c7728,same_speaker,6,Frog,1
adult_ex2_novelty,bca67603db675dfdff34f0ca9d6ceb42,same_speaker,1,Dog,1
adult_ex2_novelty,bca67603db675dfdff34f0ca9d6ceb42,different_speaker,2,Bunny,1
adult_ex2_novelty,bca67603db675dfdff34f0ca9d6ceb42,different_speaker,3,Frog,1
adult_ex2_novelty,bca67603db675dfdff34f0ca9d6ceb42,same_speaker,4,Bear,1
adult_ex2_novelty,bca67603db675dfdff34f0ca9d6ceb42,different_speaker,5,Monkey,1
adult_ex2_novelty,bca67603db675dfdff34f0ca9d6ceb42,same_speaker,6,Sheep,1
adult_ex2_novelty,c68808e9473a99f3320a5690255c503c,same_speaker,1,Cat,1
adult_ex2_novelty,c68808e9473a99f3320a5690255c503c,different_speaker,2,Frog,0
adult_ex2_novelty,c68808e9473a99f3320a5690255c503c,different_speaker,3,Monkey,0
adult_ex2_novelty,c68808e9473a99f3320a5690255c503c,same_speaker,4,Tiger,1
adult_ex2_novelty,c68808e9473a99f3320a5690255c503c,same_speaker,5,Bear,1
adult_ex2_novelty,c68808e9473a99f3320a5690255c503c,different_speaker,6,Bunny,0
adult_ex2_novelty,ca1ef3217ea4c27d2ad3f0a1b71ac81d,different_speaker,1,Bunny,1
adult_ex2_novelty,ca1ef3217ea4c27d2ad3f0a1b71ac81d,same_speaker,2,Mouse,0
adult_ex2_novelty,ca1ef3217ea4c27d2ad3f0a1b71ac81d,same_speaker,3,Bear,0
adult_ex2_novelty,ca1ef3217ea4c27d2ad3f0a1b71ac81d,different_speaker,4,Sheep,1
adult_ex2_novelty,ca1ef3217ea4c27d2ad3f0a1b71ac81d,same_speaker,5,Monkey,0
adult_ex2_novelty,ca1ef3217ea4c27d2ad3f0a1b71ac81d,different_speaker,6,Frog,1
adult_ex2_novelty,cb68b4b7088a42be885d9ebc13bf9ac6,different_speaker,1,Monkey,1
adult_ex2_novelty,cb68b4b7088a42be885d9ebc13bf9ac6,same_speaker,2,Cat,1
adult_ex2_novelty,cb68b4b7088a42be885d9ebc13bf9ac6,different_speaker,3,Frog,0
adult_ex2_novelty,cb68b4b7088a42be885d9ebc13bf9ac6,same_speaker,4,Tiger,1
adult_ex2_novelty,cb68b4b7088a42be885d9ebc13bf9ac6,same_speaker,5,Sheep,1
adult_ex2_novelty,cb68b4b7088a42be885d9ebc13bf9ac6,different_speaker,6,Bear,1
adult_ex2_novelty,cc138593b09a998ba56d957199360f7c,same_speaker,1,Dog,1
adult_ex2_novelty,cc138593b09a998ba56d957199360f7c,different_speaker,2,Monkey,1
adult_ex2_novelty,cc138593b09a998ba56d957199360f7c,different_speaker,3,Sheep,1
adult_ex2_novelty,cc138593b09a998ba56d957199360f7c,same_speaker,4,Bunny,1
adult_ex2_novelty,cc138593b09a998ba56d957199360f7c,different_speaker,5,Frog,1
adult_ex2_novelty,cc138593b09a998ba56d957199360f7c,same_speaker,6,Tiger,1
adult_ex2_novelty,d212b10824166f19a7e8afe2073211fc,same_speaker,1,Dog,1
adult_ex2_novelty,d212b10824166f19a7e8afe2073211fc,different_speaker,2,Monkey,0
adult_ex2_novelty,d212b10824166f19a7e8afe2073211fc,same_speaker,3,Tiger,1
adult_ex2_novelty,d212b10824166f19a7e8afe2073211fc,different_speaker,4,Bunny,1
adult_ex2_novelty,d212b10824166f19a7e8afe2073211fc,same_speaker,5,Cat,1
adult_ex2_novelty,d212b10824166f19a7e8afe2073211fc,different_speaker,6,Bear,1
adult_ex2_novelty,d48d41daef7867148f39761302f631b5,same_speaker,1,Mouse,1
adult_ex2_novelty,d48d41daef7867148f39761302f631b5,different_speaker,2,Frog,1
