experiment,id,age_bin,age_num,minage,trial,condition,agent,correct
child_ex2,180425_3_pref,4,4.98904109589041,3.052054794520548,5,same_speaker,Beaver,0
child_ex2,180425_3_pref,4,4.98904109589041,3.052054794520548,6,different_speaker,Dog,0
child_ex2,180425_3_pref,4,4.98904109589041,3.052054794520548,7,different_speaker,Bunny,0
child_ex2,180425_3_pref,4,4.98904109589041,3.052054794520548,8,same_speaker,Tiger,0
child_ex2,180426_1_pref,3,3.87945205479452,3.052054794520548,1,same_speaker,Mouse,0
child_ex2,180426_1_pref,3,3.87945205479452,3.052054794520548,2,different_speaker,Beaver,0
child_ex2,180426_1_pref,3,3.87945205479452,3.052054794520548,3,same_speaker,Dog,0
child_ex2,180426_1_pref,3,3.87945205479452,3.052054794520548,4,different_speaker,Bunny,1
child_ex2,180426_1_pref,3,3.87945205479452,3.052054794520548,5,same_speaker,Tiger,0
child_ex2,180426_1_pref,3,3.87945205479452,3.052054794520548,6,different_speaker,Cat,1
child_ex2,180426_1_pref,3,3.87945205479452,3.052054794520548,7,same_speaker,Pig,1
child_ex2,180426_1_pref,3,3.87945205479452,3.052054794520548,8,different_speaker,Sheep,0
child_ex2,180426_2_pref,3,3.65205479452055,3.052054794520548,1,same_speaker,Bear,1
child_ex2,180426_2_pref,3,3.65205479452055,3.052054794520548,2,different_speaker,Pig,1
child_ex2,180426_2_pref,3,3.65205479452055,3.052054794520548,3,different_speaker,Frog,0
child_ex2,180426_2_pref,3,3.65205479452055,3.052054794520548,4,same_speaker,Bunny,1
child_ex2,180426_2_pref,3,3.65205479452055,3.052054794520548,5,same_speaker,Tiger,1
child_ex2,180426_2_pref,3,3.65205479452055,3.052054794520548,6,different_speaker,Mouse,0
child_ex2,180426_2_pref,3,3.65205479452055,3.052054794520548,7,same_speaker,Beaver,1
child_ex2,180426_2_pref,3,3.65205479452055,3.052054794520548,8,different_speaker,Dog,1
child_ex2,180426_4_pref,3,3.58904109589041,3.052054794520548,1,different_speaker,Bunny,0
child_ex2,180426_4_pref,3,3.58904109589041,3.052054794520548,2,same_speaker,Elephant,1
child_ex2,180426_4_pref,3,3.58904109589041,3.052054794520548,3,different_speaker,Bear,1
child_ex2,180426_4_pref,3,3.58904109589041,3.052054794520548,4,same_speaker,Cat,1
child_ex2,180426_4_pref,3,3.58904109589041,3.052054794520548,5,different_speaker,Mouse,1
child_ex2,180426_4_pref,3,3.58904109589041,3.052054794520548,6,same_speaker,Sheep,1
child_ex2,180426_4_pref,3,3.58904109589041,3.052054794520548,7,different_speaker,Pig,1
child_ex2,180426_4_pref,3,3.58904109589041,3.052054794520548,8,same_speaker,Monkey,0
child_ex2,180426_5_pref,3,3.85479452054795,3.052054794520548,1,same_speaker,Elephant,1
child_ex2,180426_5_pref,3,3.85479452054795,3.052054794520548,2,different_speaker,Mouse,0
child_ex2,180426_5_pref,3,3.85479452054795,3.052054794520548,3,same_speaker,Monkey,1
child_ex2,180426_5_pref,3,3.85479452054795,3.052054794520548,4,different_speaker,Dog,0
child_ex2,180426_5_pref,3,3.85479452054795,3.052054794520548,5,different_speaker,Frog,1
child_ex2,180426_5_pref,3,3.85479452054795,3.052054794520548,6,same_speaker,Cat,1
child_ex2,180426_5_pref,3,3.85479452054795,3.052054794520548,7,different_speaker,Bear,0
child_ex2,180426_5_pref,3,3.85479452054795,3.052054794520548,8,same_speaker,Bunny,0
child_ex2,180502_2_pref,3,3.35342465753425,3.052054794520548,1,different_speaker,Bunny,1
child_ex2,180502_2_pref,3,3.35342465753425,3.052054794520548,2,same_speaker,Tiger,1
child_ex2,180502_2_pref,3,3.35342465753425,3.052054794520548,3,different_speaker,Pig,1
child_ex2,180502_2_pref,3,3.35342465753425,3.052054794520548,4,same_speaker,Sheep,1
child_ex2,180502_2_pref,3,3.35342465753425,3.052054794520548,5,same_speaker,Beaver,1
child_ex2,180502_2_pref,3,3.35342465753425,3.052054794520548,6,different_speaker,Mouse,1
child_ex2,180502_2_pref,3,3.35342465753425,3.052054794520548,7,different_speaker,Bear,0
child_ex2,180502_2_pref,3,3.35342465753425,3.052054794520548,8,same_speaker,Frog,1
child_ex2,180503_4_pref,3,3.10684931506849,3.052054794520548,1,different_speaker,Dog,0
child_ex2,180503_4_pref,3,3.10684931506849,3.052054794520548,2,same_speaker,Mouse,0
child_ex2,180503_4_pref,3,3.10684931506849,3.052054794520548,3,same_speaker,Pig,1
