experiment,id,trial,common_ground_manipulation,prior_manipulation,speaker,alignment,agent,correct_inf
adult_ex4,301e0a583c44317106ccc21d037942c0,7,novelty,strong,same_speaker,congruent,Bear,1
adult_ex4,301e0a583c44317106ccc21d037942c0,8,novelty,strong,different_speaker,congruent,Dog,1
adult_ex4,31427a8a205c7ccf07759b8e89852732,1,novelty,strong,different_speaker,congruent,Bear,1
adult_ex4,31427a8a205c7ccf07759b8e89852732,2,novelty,strong,same_speaker,incongruent,Monkey,1
adult_ex4,31427a8a205c7ccf07759b8e89852732,3,novelty,strong,same_speaker,incongruent,Mouse,1
adult_ex4,31427a8a205c7ccf07759b8e89852732,4,novelty,strong,different_speaker,congruent,Sheep,1
adult_ex4,31427a8a205c7ccf07759b8e89852732,5,novelty,strong,same_speaker,congruent,Elephant,1
adult_ex4,31427a8a205c7ccf07759b8e89852732,6,novelty,strong,different_speaker,incongruent,Bunny,0
adult_ex4,31427a8a205c7ccf07759b8e89852732,7,novelty,strong,different_speaker,incongruent,Beaver,0
adult_ex4,31427a8a205c7ccf07759b8e89852732,8,novelty,strong,same_speaker,congruent,Frog,1
adult_ex4,36915cee39bfc24cd3309f751a468cfc,1,novelty,strong,different_speaker,congruent,Bunny,1
adult_ex4,36915cee39bfc24cd3309f751a468cfc,2,novelty,strong,same_speaker,incongruent,Sheep,1
adult_ex4,36915cee39bfc24cd3309f751a468cfc,3,novelty,strong,same_speaker,congruent,Monkey,1
adult_ex4,36915cee39bfc24cd3309f751a468cfc,4,novelty,strong,different_speaker,incongruent,Elephant,1
adult_ex4,36915cee39bfc24cd3309f751a468cfc,5,novelty,strong,different_speaker,congruent,Mouse,1
adult_ex4,36915cee39bfc24cd3309f751a468cfc,6,novelty,strong,same_speaker,congruent,Beaver,1
adult_ex4,36915cee39bfc24cd3309f751a468cfc,7,novelty,strong,different_speaker,incongruent,Cat,1
adult_ex4,36915cee39bfc24cd3309f751a468cfc,8,novelty,strong,same_speaker,incongruent,Bear,0
adult_ex4,37ffa74dd41e12296df084f25658ca90,1,novelty,strong,same_speaker,congruent,Cat,1
adult_ex4,37ffa74dd41e12296df084f25658ca90,2,novelty,strong,same_speaker,congruent,Frog,1
adult_ex4,37ffa74dd41e12296df084f25658ca90,3,novelty,strong,different_speaker,incongruent,Monkey,1
adult_ex4,37ffa74dd41e12296df084f25658ca90,4,novelty,strong,same_speaker,incongruent,Elephant,0
adult_ex4,37ffa74dd41e12296df084f25658ca90,5,novelty,strong,different_speaker,congruent,Bunny,0
adult_ex4,37ffa74dd41e12296df084f25658ca90,6,novelty,strong,different_speaker,incongruent,Sheep,1
adult_ex4,37ffa74dd41e12296df084f25658ca90,7,novelty,strong,different_speaker,congruent,Beaver,0
