"","alltrial","subid","age","condition","agent","leftObject","rightObject","targetOnTable","pick","target","trial","control","rt","correct","targetObj","age_num"
"369","9","180727_8_inf","4","informativeness","Cat","t8","t17","outer","t17","right","7","false",11851,1,"t17",4.02191780821918
"370","10","180727_8_inf","4","informativeness","Tiger","t7","t10","outer","t10","right","8","true",13051,1,"t10",4.02191780821918
"371","1","180727_9_inf","2","informativeness","Elephant","car","bear","inner","car","left","train","false",20220,1,"car",2.7972602739726
"372","2","180727_9_inf","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",14466,1,"ball",2.7972602739726
"373","3","180727_9_inf","2","informativeness","Mouse","t8","t7","outer","t7","left","1","false",15449,0,"t8",2.7972602739726
"374","4","180727_9_inf","2","informativeness","Frog","t9","t6","inner","t6","right","2","true",13499,1,"t6",2.7972602739726
"375","5","180727_9_inf","2","informativeness","Elephant","t11","t3","outer","t11","left","3","true",14732,1,"t11",2.7972602739726
"376","6","180727_9_inf","2","informativeness","Beaver","t12","t17","inner","t17","right","4","false",11723,1,"t17",2.7972602739726
"377","7","180727_9_inf","2","informativeness","Monkey","t10","t4","inner","t4","left","5","false",19690,0,"t10",2.7972602739726
"378","8","180727_9_inf","2","informativeness","Tiger","t5","t1","inner","t5","left","6","true",17508,1,"t5",2.7972602739726
"379","9","180727_9_inf","2","informativeness","Pig","t2","t16","inner","t16","right","7","true",17931,1,"t16",2.7972602739726
"380","10","180727_9_inf","2","informativeness","Cat","t15","t14","outer","t15","right","8","false",10580,0,"t14",2.7972602739726
"381","1","190718_10_inf","2","informativeness","Elephant","car","bear","inner","car","left","train","false",36363,1,"car",2.4958904109589
"382","2","190718_10_inf","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",12441,1,"ball",2.4958904109589
"383","3","190718_10_inf","2","informativeness","Bunny","t14","t10","outer","t14","right","1","false",17047,0,"t10",2.4958904109589
"384","4","190718_10_inf","2","informativeness","Mouse","t6","t16","outer","t16","left","2","true",16492,0,"t6",2.4958904109589
"385","5","190718_10_inf","2","informativeness","Beaver","t8","t12","outer","t12","right","3","false",16014,1,"t12",2.4958904109589
"386","6","190718_10_inf","2","informativeness","Sheep","t15","t9","inner","t15","left","4","true",12746,1,"t15",2.4958904109589
"387","7","190718_10_inf","2","informativeness","Cat","t2","t11","outer","t11","left","5","true",15567,0,"t2",2.4958904109589
"388","8","190718_10_inf","2","informativeness","Tiger","t4","t5","inner","t5","right","6","false",17996,1,"t5",2.4958904109589
"389","9","190718_10_inf","2","informativeness","Dog","t3","t17","outer","t3","left","7","false",9136,1,"t3",2.4958904109589
"390","10","190718_10_inf","2","informativeness","Monkey","t1","t7","outer","t1","right","8","true",14836,0,"t7",2.4958904109589
"391","1","190718_11_inf","4","informativeness","Elephant","car","bear","inner","car","left","train","false",11387,1,"car",4.55616438356164
"392","2","190718_11_inf","4","informativeness","Pig","duck","ball","outer","ball","right","train","false",10871,1,"ball",4.55616438356164
"393","3","190718_11_inf","4","informativeness","Bear","t2","t6","outer","t2","left","1","true",8662,1,"t2",4.55616438356164
"394","4","190718_11_inf","4","informativeness","Beaver","t11","t15","inner","t11","left","2","false",13493,1,"t11",4.55616438356164
"395","5","190718_11_inf","4","informativeness","Elephant","t12","t1","outer","t1","left","3","false",12585,0,"t12",4.55616438356164
"396","6","190718_11_inf","4","informativeness","Bunny","t5","t4","outer","t4","right","4","true",11526,1,"t4",4.55616438356164
"397","7","190718_11_inf","4","informativeness","Monkey","t9","t3","outer","t9","right","5","false",11328,0,"t3",4.55616438356164
"398","8","190718_11_inf","4","informativeness","Tiger","t8","t16","outer","t16","right","6","true",9459,1,"t16",4.55616438356164
"399","9","190718_11_inf","4","informativeness","Mouse","t10","t14","outer","t10","left","7","false",10514,1,"t10",4.55616438356164
"400","10","190718_11_inf","4","informativeness","Cat","t7","t17","inner","t7","right","8","true",10958,0,"t17",4.55616438356164
"401","1","190718_3_inf","3","informativeness","Elephant","car","bear","inner","car","left","train","false",22630,1,"car",3.3972602739726
"402","2","190718_3_inf","3","informativeness","Pig","duck","ball","outer","ball","right","train","false",13864,1,"ball",3.3972602739726
"403","3","190718_3_inf","3","informativeness","Mouse","t7","t6","inner","t7","left","1","false",16069,1,"t7",3.3972602739726
"404","4","190718_3_inf","3","informativeness","Pig","t8","t12","inner","t8","right","2","true",148172,0,"t12",3.3972602739726
"405","5","190718_3_inf","3","informativeness","Tiger","t17","t1","outer","t1","left","3","false",16681,0,"t17",3.3972602739726
"406","6","190718_3_inf","3","informativeness","Sheep","t5","t10","inner","t5","left","4","true",14906,1,"t5",3.3972602739726
"407","7","190718_3_inf","3","informativeness","Frog","t16","t15","outer","t15","left","5","true",8945,0,"t16",3.3972602739726
"408","8","190718_3_inf","3","informativeness","Elephant","t3","t9","outer","t3","right","6","false",9197,0,"t9",3.3972602739726
"409","9","190718_3_inf","3","informativeness","Monkey","t2","t14","inner","t14","right","7","false",21729,1,"t14",3.3972602739726
"410","10","190718_3_inf","3","informativeness","Dog","t4","t11","inner","t4","right","8","true",9026,0,"t11",3.3972602739726
"411","1","190718_4_inf","2","informativeness","Elephant","car","bear","inner","car","left","train","false",13077,1,"car",2.81095890410959
"412","2","190718_4_inf","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",9483,1,"ball",2.81095890410959
"413","3","190718_4_inf","2","informativeness","Cat","t16","t9","inner","t9","right","1","false",12711,1,"t9",2.81095890410959
"414","4","190718_4_inf","2","informativeness","Bunny","t2","t8","outer","t2","right","2","true",9213,0,"t8",2.81095890410959
"415","5","190718_4_inf","2","informativeness","Tiger","t5","t11","inner","t11","right","3","false",19206,1,"t11",2.81095890410959
"416","6","190718_4_inf","2","informativeness","Pig","t15","t6","outer","t6","right","4","true",8950,1,"t6",2.81095890410959
"417","7","190718_4_inf","2","informativeness","Sheep","t14","t7","outer","t14","left","5","true",10608,1,"t14",2.81095890410959
"418","8","190718_4_inf","2","informativeness","Frog","t3","t17","inner","t3","left","6","false",17756,1,"t3",2.81095890410959
"419","9","190718_4_inf","2","informativeness","Mouse","t1","t12","inner","t1","left","7","true",10093,1,"t1",2.81095890410959
"420","10","190718_4_inf","2","informativeness","Monkey","t4","t10","inner","t4","left","8","false",12584,1,"t4",2.81095890410959
"421","1","200718_3_inf","3","informativeness","Elephant","car","bear","inner","car","left","train","false",13835,1,"car",3.14520547945205
"422","2","200718_3_inf","3","informativeness","Pig","duck","ball","outer","ball","right","train","false",15713,1,"ball",3.14520547945205
"423","3","200718_3_inf","3","informativeness","Cat","t7","t8","inner","t7","left","1","false",16900,1,"t7",3.14520547945205
"424","4","200718_3_inf","3","informativeness","Tiger","t5","t16","inner","t5","left","2","true",12067,1,"t5",3.14520547945205
"425","5","200718_3_inf","3","informativeness","Monkey","t6","t15","outer","t15","left","3","false",12619,0,"t6",3.14520547945205
"426","6","200718_3_inf","3","informativeness","Dog","t11","t12","outer","t11","right","4","true",12168,0,"t12",3.14520547945205
"427","7","200718_3_inf","3","informativeness","Beaver","t1","t17","inner","t1","left","5","true",10986,1,"t1",3.14520547945205
"428","8","200718_3_inf","3","informativeness","Sheep","t2","t14","inner","t14","right","6","false",11503,1,"t14",3.14520547945205
"429","9","200718_3_inf","3","informativeness","Bear","t9","t10","inner","t10","right","7","false",11574,1,"t10",3.14520547945205
"430","10","200718_3_inf","3","informativeness","Pig","t3","t4","outer","t3","right","8","true",15035,0,"t4",3.14520547945205
"431","1","200718_4_inf","2","informativeness","Elephant","car","bear","inner","car","left","train","false",15778,1,"car",2.92602739726027
"432","2","200718_4_inf","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",9703,1,"ball",2.92602739726027
"433","3","200718_4_inf","2","informativeness","Tiger","t15","t9","inner","t15","left","1","true",13234,1,"t15",2.92602739726027
"434","4","200718_4_inf","2","informativeness","Mouse","t7","t16","inner","t16","left","2","false",14330,0,"t7",2.92602739726027
"435","5","200718_4_inf","2","informativeness","Elephant","t4","t12","outer","t4","right","3","true",12325,0,"t12",2.92602739726027
"436","6","200718_4_inf","2","informativeness","Frog","t11","t1","inner","t11","right","4","false",11536,0,"t1",2.92602739726027
"437","7","200718_4_inf","2","informativeness","Sheep","t3","t10","outer","t10","left","5","true",11211,0,"t3",2.92602739726027
"438","8","200718_4_inf","2","informativeness","Monkey","t17","t6","outer","t17","right","6","false",11016,0,"t6",2.92602739726027
"439","9","200718_4_inf","2","informativeness","Bear","t8","t5","outer","t5","right","7","true",15127,1,"t5",2.92602739726027
"440","10","200718_4_inf","2","informativeness","Beaver","t14","t2","outer","t14","left","8","false",8305,1,"t14",2.92602739726027
"441","1","200718_9_inf","2","informativeness","Elephant","car","bear","inner","car","left","train","false",17952,1,"car",2.77808219178082
"442","2","200718_9_inf","2","informativeness","Pig","duck","ball","outer","ball","right","train","false",13359,1,"ball",2.77808219178082
"443","3","200718_9_inf","2","informativeness","Cat","t9","t2","inner","t9","left","1","true",15179,1,"t9",2.77808219178082
"444","4","200718_9_inf","2","informativeness","Tiger","t3","t16","outer","t16","right","2","false",13315,1,"t16",2.77808219178082
"445","5","200718_9_inf","2","informativeness","Dog","t17","t7","inner","t17","left","3","false",12391,1,"t17",2.77808219178082
"446","6","200718_9_inf","2","informativeness","Beaver","t5","t10","inner","t5","left","4","true",12101,1,"t5",2.77808219178082
"447","7","200718_9_inf","2","informativeness","Sheep","t4","t1","inner","t1","right","5","false",13418,1,"t1",2.77808219178082
"448","8","200718_9_inf","2","informativeness","Elephant","t12","t11","outer","t12","right","6","true",13809,0,"t11",2.77808219178082
"449","9","200718_9_inf","2","informativeness","Frog","t14","t6","inner","t14","left","7","false",13285,1,"t14",2.77808219178082
"450","10","200718_9_inf","2","informativeness","Bear","t8","t15","outer","t8","right","8","true",13948,0,"t15",2.77808219178082
