experiment,id,trial,common_ground_manipulation,prior_manipulation,speaker,agent,correct
adult_ex4_prior,3f77eeb8e5b1616b361346d5381aacbd,4,novelty,strong,same_speaker,Mouse,1
adult_ex4_prior,3f77eeb8e5b1616b361346d5381aacbd,5,novelty,strong,same_speaker,Mouse,1
adult_ex4_prior,3f77eeb8e5b1616b361346d5381aacbd,6,novelty,strong,different_speaker,Mouse,0
adult_ex4_prior,42f77dd44ba3a8165cefadbdc0438acd,1,novelty,strong,same_speaker,Bear,1
adult_ex4_prior,42f77dd44ba3a8165cefadbdc0438acd,2,novelty,strong,different_speaker,Bear,1
adult_ex4_prior,42f77dd44ba3a8165cefadbdc0438acd,3,novelty,strong,different_speaker,Bunny,1
adult_ex4_prior,42f77dd44ba3a8165cefadbdc0438acd,4,novelty,strong,same_speaker,Sheep,1
adult_ex4_prior,42f77dd44ba3a8165cefadbdc0438acd,5,novelty,strong,same_speaker,Sheep,1
adult_ex4_prior,42f77dd44ba3a8165cefadbdc0438acd,6,novelty,strong,different_speaker,Sheep,1
adult_ex4_prior,47c1a0455f8a8eb6f3b9075309f5b574,1,novelty,strong,different_speaker,Monkey,0
adult_ex4_prior,47c1a0455f8a8eb6f3b9075309f5b574,2,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,47c1a0455f8a8eb6f3b9075309f5b574,3,novelty,strong,different_speaker,Frog,0
adult_ex4_prior,47c1a0455f8a8eb6f3b9075309f5b574,4,novelty,strong,same_speaker,Bear,1
adult_ex4_prior,47c1a0455f8a8eb6f3b9075309f5b574,5,novelty,strong,same_speaker,Bear,1
adult_ex4_prior,47c1a0455f8a8eb6f3b9075309f5b574,6,novelty,strong,different_speaker,Bear,1
adult_ex4_prior,5d15c2bf0ef285d654bb3e86ce88542a,1,novelty,strong,different_speaker,Sheep,1
adult_ex4_prior,5d15c2bf0ef285d654bb3e86ce88542a,2,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,5d15c2bf0ef285d654bb3e86ce88542a,3,novelty,strong,different_speaker,Bunny,1
adult_ex4_prior,5d15c2bf0ef285d654bb3e86ce88542a,4,novelty,strong,same_speaker,Bear,1
adult_ex4_prior,5d15c2bf0ef285d654bb3e86ce88542a,5,novelty,strong,different_speaker,Bear,1
adult_ex4_prior,5d15c2bf0ef285d654bb3e86ce88542a,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,6a7c53ff73f8d85f881fbcae85d08a32,1,novelty,strong,same_speaker,Monkey,1
adult_ex4_prior,6a7c53ff73f8d85f881fbcae85d08a32,2,novelty,strong,different_speaker,Monkey,0
adult_ex4_prior,6a7c53ff73f8d85f881fbcae85d08a32,3,novelty,strong,different_speaker,Bear,1
adult_ex4_prior,6a7c53ff73f8d85f881fbcae85d08a32,4,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,6a7c53ff73f8d85f881fbcae85d08a32,5,novelty,strong,different_speaker,Frog,0
adult_ex4_prior,6a7c53ff73f8d85f881fbcae85d08a32,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,6dd2f63855fc528adcef048175041f48,1,novelty,strong,different_speaker,Bear,0
adult_ex4_prior,6dd2f63855fc528adcef048175041f48,2,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,6dd2f63855fc528adcef048175041f48,3,novelty,strong,different_speaker,Frog,1
adult_ex4_prior,6dd2f63855fc528adcef048175041f48,4,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,6dd2f63855fc528adcef048175041f48,5,novelty,strong,same_speaker,Bunny,1
adult_ex4_prior,6dd2f63855fc528adcef048175041f48,6,novelty,strong,different_speaker,Bunny,1
adult_ex4_prior,7d52b1aca870e9546b06b04a4a9fbd9e,1,novelty,strong,same_speaker,Dog,1
adult_ex4_prior,7d52b1aca870e9546b06b04a4a9fbd9e,2,novelty,strong,different_speaker,Dog,1
adult_ex4_prior,7d52b1aca870e9546b06b04a4a9fbd9e,3,novelty,strong,different_speaker,Bunny,1
adult_ex4_prior,7d52b1aca870e9546b06b04a4a9fbd9e,4,novelty,strong,same_speaker,Bear,1
adult_ex4_prior,7d52b1aca870e9546b06b04a4a9fbd9e,5,novelty,strong,same_speaker,Bear,0
adult_ex4_prior,7d52b1aca870e9546b06b04a4a9fbd9e,6,novelty,strong,different_speaker,Bear,1
adult_ex4_prior,7fd26a78ca245a07c0a6447462809833,1,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,7fd26a78ca245a07c0a6447462809833,2,novelty,strong,different_speaker,Frog,0
adult_ex4_prior,7fd26a78ca245a07c0a6447462809833,3,novelty,strong,same_speaker,Sheep,1
adult_ex4_prior,7fd26a78ca245a07c0a6447462809833,4,novelty,strong,different_speaker,Sheep,1
adult_ex4_prior,7fd26a78ca245a07c0a6447462809833,5,novelty,strong,different_speaker,Bunny,0
adult_ex4_prior,7fd26a78ca245a07c0a6447462809833,6,novelty,strong,same_speaker,NA,1
adult_ex4_prior,8079664d0336c2915f84ced409e48e8c,1,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,8079664d0336c2915f84ced409e48e8c,2,novelty,strong,different_speaker,Frog,1
adult_ex4_prior,8079664d0336c2915f84ced409e48e8c,3,novelty,strong,same_speaker,Monkey,1
adult_ex4_prior,8079664d0336c2915f84ced409e48e8c,4,novelty,strong,different_speaker,Monkey,1
adult_ex4_prior,8079664d0336c2915f84ced409e48e8c,5,novelty,strong,same_speaker,Bear,1
adult_ex4_prior,8079664d0336c2915f84ced409e48e8c,6,novelty,strong,different_speaker,Bear,1
adult_ex4_prior,8251f30d8b2583c15b8a516f5e004971,1,novelty,strong,same_speaker,Frog,1
adult_ex4_prior,8251f30d8b2583c15b8a516f5e004971,2,novelty,strong,different_speaker,Frog,0
adult_ex4_prior,8251f30d8b2583c15b8a516f5e004971,3,novelty,strong,same_speaker,Bear,1
adult_ex4_prior,8251f30d8b2583c15b8a516f5e004971,4,novelty,strong,different_speaker,Bear,0
adult_ex4_prior,8251f30d8b2583c15b8a516f5e004971,5,novelty,strong,different_speaker,Bunny,0
