alltrial,subid,age,condition,agent,altAgent,leftObject,rightObject,pick,target,trial,change,rt,correct,targetObj,age_num,X,trial_type
1,180718_2_pref,3,preference,Elephant,Pig,car,bear,car,left,train,false,12769,1,car,3.77260273972603,NA,train
2,180718_2_pref,3,preference,Pig,Pig,duck,ball,ball,right,train,false,8253,1,ball,3.77260273972603,NA,train
3,180718_2_pref,3,preference,Tiger,Pig,t17,t10,t10,left,1,true,13795,0,t17,3.77260273972603,NA,test
4,180718_2_pref,3,preference,Cat,Dog,t7,t11,t11,right,2,false,14038,1,t11,3.77260273972603,NA,test
5,180718_2_pref,3,preference,Mouse,Dog,t6,t1,t1,left,3,true,14368,0,t6,3.77260273972603,NA,test
6,180718_2_pref,3,preference,Frog,Monkey,t16,t8,t16,left,4,false,14277,1,t16,3.77260273972603,NA,test
7,180718_2_pref,3,preference,Sheep,Monkey,t3,t12,t12,right,5,false,13345,1,t12,3.77260273972603,NA,test
8,180718_2_pref,3,preference,Elephant,Monkey,t5,t2,t5,left,6,true,14422,1,t5,3.77260273972603,NA,test
9,180718_2_pref,3,preference,Bear,Bunny,t4,t15,t4,right,7,true,14473,0,t15,3.77260273972603,NA,test
10,180718_2_pref,3,preference,Beaver,NA,t14,t9,t14,right,8,false,13720,0,t9,3.77260273972603,NA,test
1,180718_3_pref,2,preference,Elephant,Frog,car,bear,car,left,train,false,27933,1,car,2.87397260273973,NA,train
2,180718_3_pref,2,preference,Pig,Frog,duck,ball,ball,right,train,false,13914,1,ball,2.87397260273973,NA,train
3,180718_3_pref,2,preference,Beaver,Frog,t7,t16,t16,right,1,false,14555,1,t16,2.87397260273973,NA,test
4,180718_3_pref,2,preference,Sheep,Frog,t1,t5,t5,right,2,true,22497,1,t5,2.87397260273973,NA,test
5,180718_3_pref,2,preference,Bunny,Monkey,t12,t2,t2,left,3,true,15664,0,t12,2.87397260273973,NA,test
6,180718_3_pref,2,preference,Tiger,Mouse,t15,t10,t15,left,4,false,16127,1,t15,2.87397260273973,NA,test
7,180718_3_pref,2,preference,Bear,Mouse,t6,t11,t11,right,5,true,21536,1,t11,2.87397260273973,NA,test
8,180718_3_pref,2,preference,Cat,Dog,t4,t17,t17,right,6,false,18154,1,t17,2.87397260273973,NA,test
9,180718_3_pref,2,preference,Pig,Dog,t9,t8,t8,left,7,false,19293,0,t9,2.87397260273973,NA,test
10,180718_3_pref,2,preference,Elephant,Dog,t3,t14,t3,left,8,true,17855,1,t3,2.87397260273973,NA,test
1,180718_4_pref,2,preference,Elephant,Monkey,car,bear,car,left,train,false,12968,1,car,2.56986301369863,NA,train
2,180718_4_pref,2,preference,Pig,Monkey,duck,ball,ball,right,train,false,11223,1,ball,2.56986301369863,NA,train
3,180718_4_pref,2,preference,Cat,Monkey,t3,t14,t3,left,1,true,14504,1,t3,2.56986301369863,NA,test
4,180718_4_pref,2,preference,Frog,Bear,t12,t5,t5,right,2,false,14972,1,t5,2.56986301369863,NA,test
5,180718_4_pref,2,preference,Mouse,Bear,t16,t9,t16,left,3,false,12072,1,t16,2.56986301369863,NA,test
6,180718_4_pref,2,preference,Tiger,Bear,t15,t11,t15,left,4,true,15290,1,t15,2.56986301369863,NA,test
7,180718_4_pref,2,preference,Beaver,Pig,t4,t10,t4,left,5,true,44307,1,t4,2.56986301369863,NA,test
8,180718_4_pref,2,preference,Bunny,Dog,t17,t6,t6,right,6,false,9738,1,t6,2.56986301369863,NA,test
9,180718_4_pref,2,preference,Sheep,Dog,t2,t8,t8,right,7,true,13740,1,t8,2.56986301369863,NA,test
10,180718_4_pref,2,preference,Elephant,NA,t1,t7,t7,right,8,false,8760,1,t7,2.56986301369863,NA,test
1,180718_5_pref,3,preference,Elephant,Bunny,car,bear,car,left,train,false,12913,1,car,3.38356164383562,NA,train
2,180718_5_pref,3,preference,Pig,Bunny,duck,ball,ball,right,train,false,11219,1,ball,3.38356164383562,NA,train
3,180718_5_pref,3,preference,Cat,Bunny,t17,t4,t4,right,1,false,14876,1,t4,3.38356164383562,NA,test
4,180718_5_pref,3,preference,Mouse,Bunny,t8,t5,t8,left,2,true,14285,1,t8,3.38356164383562,NA,test
5,180718_5_pref,3,preference,Sheep,Pig,t6,t2,t2,right,3,false,13089,1,t2,3.38356164383562,NA,test
6,180718_5_pref,3,preference,Monkey,Pig,t15,t10,t15,left,4,true,13642,1,t15,3.38356164383562,NA,test
7,180718_5_pref,3,preference,Beaver,Frog,t12,t16,t12,left,5,false,13344,1,t12,3.38356164383562,NA,test
8,180718_5_pref,3,preference,Bear,Frog,t14,t7,t7,right,6,true,13690,1,t7,3.38356164383562,NA,test
9,180718_5_pref,3,preference,Elephant,Tiger,t11,t9,t11,left,7,false,16408,1,t11,3.38356164383562,NA,test
10,180718_5_pref,3,preference,Dog,Tiger,t3,t1,t1,right,8,true,15887,1,t1,3.38356164383562,NA,test
1,180718_8_pref,3,preference,Elephant,Elephant,car,bear,car,left,train,false,11476,1,car,3.91232876712329,NA,train
2,180718_8_pref,3,preference,Pig,Elephant,duck,ball,ball,right,train,false,9721,1,ball,3.91232876712329,NA,train
3,180718_8_pref,3,preference,Mouse,Elephant,t8,t17,t8,right,1,false,51893,0,t17,3.91232876712329,NA,test
4,180718_8_pref,3,preference,Cat,Elephant,t4,t16,t16,right,2,true,11615,1,t16,3.91232876712329,NA,test
5,180718_8_pref,3,preference,Beaver,Monkey,t2,t12,t2,left,3,false,9364,1,t2,3.91232876712329,NA,test
