experiment,id,trial,common_ground_manipulation,speaker,alignment,agent,correct_inf
adult_ex3,32b7472daf4c04fc73f3f43e5b60f6b9,3,novelty,different_speaker,congruent,Frog,1
adult_ex3,32b7472daf4c04fc73f3f43e5b60f6b9,4,novelty,same_speaker,congruent,Monkey,1
adult_ex3,32b7472daf4c04fc73f3f43e5b60f6b9,5,novelty,different_speaker,congruent,Sheep,1
adult_ex3,32b7472daf4c04fc73f3f43e5b60f6b9,6,novelty,same_speaker,congruent,Pig,1
adult_ex3,32b7472daf4c04fc73f3f43e5b60f6b9,7,novelty,same_speaker,incongruent,Tiger,0
adult_ex3,32b7472daf4c04fc73f3f43e5b60f6b9,8,novelty,different_speaker,incongruent,Beaver,1
adult_ex3,38928eacd2cc19712443c6ff5625cfd0,1,novelty,different_speaker,incongruent,Mouse,1
adult_ex3,38928eacd2cc19712443c6ff5625cfd0,2,novelty,same_speaker,incongruent,Tiger,0
adult_ex3,38928eacd2cc19712443c6ff5625cfd0,3,novelty,different_speaker,congruent,Dog,1
adult_ex3,38928eacd2cc19712443c6ff5625cfd0,4,novelty,same_speaker,incongruent,Frog,0
adult_ex3,38928eacd2cc19712443c6ff5625cfd0,5,novelty,same_speaker,congruent,Pig,1
adult_ex3,38928eacd2cc19712443c6ff5625cfd0,6,novelty,same_speaker,congruent,Bear,1
adult_ex3,38928eacd2cc19712443c6ff5625cfd0,7,novelty,different_speaker,incongruent,Sheep,1
adult_ex3,38928eacd2cc19712443c6ff5625cfd0,8,novelty,different_speaker,congruent,Cat,1
adult_ex3,404f63efe371a514fd7c3bbb0f91eea8,1,novelty,same_speaker,congruent,Frog,1
adult_ex3,404f63efe371a514fd7c3bbb0f91eea8,2,novelty,different_speaker,incongruent,Mouse,0
adult_ex3,404f63efe371a514fd7c3bbb0f91eea8,3,novelty,different_speaker,congruent,Sheep,1
adult_ex3,404f63efe371a514fd7c3bbb0f91eea8,4,novelty,different_speaker,incongruent,Cat,0
adult_ex3,404f63efe371a514fd7c3bbb0f91eea8,5,novelty,same_speaker,incongruent,Dog,0
adult_ex3,404f63efe371a514fd7c3bbb0f91eea8,6,novelty,different_speaker,congruent,Elephant,1
adult_ex3,404f63efe371a514fd7c3bbb0f91eea8,7,novelty,same_speaker,incongruent,Bunny,0
adult_ex3,404f63efe371a514fd7c3bbb0f91eea8,8,novelty,same_speaker,congruent,Bear,1
adult_ex3,4a4d6ffa53e109e8b32e287c2bb7aab2,1,novelty,same_speaker,incongruent,Sheep,0
adult_ex3,4a4d6ffa53e109e8b32e287c2bb7aab2,2,novelty,different_speaker,congruent,Cat,1
adult_ex3,4a4d6ffa53e109e8b32e287c2bb7aab2,3,novelty,same_speaker,congruent,Bear,1
adult_ex3,4a4d6ffa53e109e8b32e287c2bb7aab2,4,novelty,different_speaker,congruent,Tiger,0
adult_ex3,4a4d6ffa53e109e8b32e287c2bb7aab2,5,novelty,different_speaker,incongruent,Elephant,1
adult_ex3,4a4d6ffa53e109e8b32e287c2bb7aab2,6,novelty,same_speaker,incongruent,Pig,0
adult_ex3,4a4d6ffa53e109e8b32e287c2bb7aab2,7,novelty,same_speaker,congruent,Dog,1
adult_ex3,4a4d6ffa53e109e8b32e287c2bb7aab2,8,novelty,different_speaker,incongruent,Bunny,0
