experiment,id,trial,condition,agent,correct
adult_ex1,anon19_informativeness,4,test,Bunny,1
adult_ex1,anon19_informativeness,5,control,Dog,1
adult_ex1,anon19_informativeness,6,test,Tiger,1
adult_ex1,anon2_informativeness,1,control,Mouse,1
adult_ex1,anon2_informativeness,2,test,Frog,1
adult_ex1,anon2_informativeness,3,control,Dog,1
adult_ex1,anon2_informativeness,4,test,Bunny,1
adult_ex1,anon2_informativeness,5,test,Bear,1
adult_ex1,anon2_informativeness,6,control,Tiger,0
adult_ex1,anon20_informativeness,1,control,Mouse,1
adult_ex1,anon20_informativeness,2,test,Bunny,0
adult_ex1,anon20_informativeness,3,control,Monkey,0
adult_ex1,anon20_informativeness,4,test,Frog,1
adult_ex1,anon20_informativeness,5,test,Bear,1
adult_ex1,anon20_informativeness,6,control,Tiger,1
adult_ex1,anon21_informativeness,1,test,Frog,1
adult_ex1,anon21_informativeness,2,control,Monkey,1
adult_ex1,anon21_informativeness,3,test,Bunny,1
adult_ex1,anon21_informativeness,4,control,Tiger,0
adult_ex1,anon21_informativeness,5,control,Bear,0
adult_ex1,anon21_informativeness,6,test,Mouse,1
adult_ex1,anon22_informativeness,1,control,Monkey,0
adult_ex1,anon22_informativeness,2,test,Bunny,1
adult_ex1,anon22_informativeness,3,control,Mouse,1
adult_ex1,anon22_informativeness,4,test,Frog,0
adult_ex1,anon22_informativeness,5,test,Bear,0
adult_ex1,anon22_informativeness,6,control,Tiger,1
adult_ex1,anon23_informativeness,1,control,Frog,1
adult_ex1,anon23_informativeness,2,test,Mouse,1
adult_ex1,anon23_informativeness,3,test,Bunny,0
adult_ex1,anon23_informativeness,4,control,Dog,1
adult_ex1,anon23_informativeness,5,control,Monkey,0
adult_ex1,anon23_informativeness,6,test,Bear,0
adult_ex1,anon24_informativeness,1,test,Bunny,1
adult_ex1,anon24_informativeness,2,control,Monkey,0
adult_ex1,anon24_informativeness,3,control,Bear,1
adult_ex1,anon24_informativeness,4,test,Frog,1
adult_ex1,anon24_informativeness,5,test,Mouse,1
adult_ex1,anon24_informativeness,6,control,Tiger,1
adult_ex1,anon25_informativeness,1,control,Bunny,1
adult_ex1,anon25_informativeness,2,test,Bear,1
adult_ex1,anon25_informativeness,3,test,Mouse,1
adult_ex1,anon25_informativeness,4,control,Frog,1
adult_ex1,anon25_informativeness,5,control,Monkey,0
adult_ex1,anon25_informativeness,6,test,Tiger,1
adult_ex1,anon26_informativeness,1,control,Tiger,0
adult_ex1,anon26_informativeness,2,test,Frog,0
adult_ex1,anon26_informativeness,3,control,Mouse,0
